Submission and Description,Private Score,Public Score
submit_kt_mean.csv,3.61478,3.69637
submit_wt_mean.csv,3.61467,3.69617
submit_ok_mean.csv,3.61468,3.69680
submit_ot_mean.csv,3.61471,3.69684
submit_ow_mean.csv,3.61455,3.69658
submit_wk_mean.csv,3.61463,3.69613
submit_wkt_median.csv,3.61462,3.69612
submit_wkt_mean.csv,3.61465,3.69618
submit_okt_median.csv,3.61487,3.69674
submit_okt_mean.csv,3.61468,3.69663
submit_owt_median.csv,3.61458,3.69655
submit_owt_mean.csv,3.61461,3.69650
submit_owk_median.csv,3.61455,3.69647
submit_owk_mean.csv,3.61457,3.69646
submit_all_mean.csv,3.61460,3.69642
submit_all_median.csv,3.61462,3.69643
oshikiri,3.61470,3.69736
kawai,3.61497,3.69654
taniguchi,3.61490,3.69649
watanabe,3.61462,3.69602